,reward1,reward2,reward3,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
61,57.159735,19.431706,6.605895,6.0,256.0,32.0,4096.0,4.0,16.0,8.0,3.1,0.000381,115.32,6.527450114999999,17.132414999999998
62,195.155039,96.343922,47.56296,2.0,128.0,32.0,64.0,8.0,2.0,8.0,3.2,0.000226,139.6,3.107827474,13.751449
63,195.155039,84.199557,36.327862,2.0,128.0,1024.0,64.0,4.0,2.0,8.0,3.0,0.000129,28.862,0.480144321,3.722049
64,195.155039,82.630472,34.986516,2.0,512.0,256.0,1024.0,4.0,8.0,8.0,2.2,0.000129,42.179,0.628638285,4.873165
65,195.155039,99.323077,50.54993,2.0,8.0,32.0,64.0,4.0,4.0,8.0,2.6,0.000129,40.764,0.6527396129999999,5.059997
66,132.5,59.114601,26.373857,4.0,16.0,32.0,64.0,4.0,2.0,8.0,3.2,0.000129,24.305,0.4517728349999999,3.502115
67,147.222222,116.386319,92.00904,1.0,128.0,32.0,128.0,2.0,2.0,8.0,3.9,0.00019,45.411,1.27535448,6.712392
68,46.875064,17.626891,6.628413,2.0,128.0,32.0,16384.0,4.0,2.0,8.0,3.2,0.000171,14.558,0.3290156622,1.9240682
69,195.155039,96.57257,47.788985,2.0,128.0,32.0,256.0,4.0,2.0,8.0,3.1,0.000217,157.32,2.341710798,10.791294
70,195.155039,82.200113,34.623029,2.0,512.0,32.0,1024.0,1.0,16.0,8.0,2.6,0.000129,26.938,0.477873405,3.704445
71,195.155039,91.909702,43.28555,2.0,128.0,32.0,1024.0,4.0,2.0,8.0,2.0,0.000129,42.851,0.659592351,5.113119
72,195.155039,89.926922,41.438086,2.0,512.0,8.0,64.0,8.0,2.0,8.0,3.2,0.000129,31.251,0.527591424,4.089856
73,0.0,0.0,0.0,1.0,4.0,32.0,32768.0,1.0,16.0,8.0,2.6,0.000129,33.523,0.5511134129999999,4.272197
74,195.155039,98.082199,49.294744,2.0,128.0,32.0,64.0,4.0,2.0,8.0,3.4,0.0,0.0,0.0,0.0
75,195.155039,97.17004,48.382131,2.0,128.0,32.0,64.0,4.0,2.0,8.0,2.0,0.000129,25.206,0.4632762681,3.5912889000000003
76,148.964497,85.60175,49.190644,1.0,2048.0,32.0,64.0,2.0,2.0,8.0,2.1,0.000129,25.206,0.47201487,3.65903
77,195.155039,83.424257,35.661937,2.0,128.0,1024.0,256.0,2.0,2.0,8.0,3.2,0.000169,27.554,0.6082122409999999,3.598889
78,195.155039,74.678464,28.576628,2.0,128.0,2048.0,64.0,16.0,2.0,8.0,3.2,0.000129,43.909,0.6403770269999999,4.964163
79,98.285589,32.723315,10.894938,5.0,512.0,128.0,4096.0,2.0,2.0,8.0,3.8,0.000129,54.272,0.799152549,6.194981
80,195.155039,99.688729,50.922809,2.0,32.0,32.0,64.0,4.0,2.0,8.0,3.2,0.000195,114.61,2.412213765,12.370327
81,12.387138,4.906027,1.943072,16.0,128.0,32.0,64.0,4.0,2.0,8.0,3.5,0.000129,24.198,0.448464759,3.476471
82,148.964497,99.356868,66.269396,1.0,128.0,32.0,128.0,2.0,16.0,8.0,2.0,0.000608,182.83,16.571841344000003,27.256318
83,116.013825,53.82284,24.970283,2.0,128.0,32.0,8192.0,4.0,2.0,8.0,3.2,0.000169,18.974,0.451465586,2.6713940000000003
84,116.013825,53.339602,24.523915,2.0,128.0,32.0,8192.0,8.0,2.0,8.0,3.2,0.000217,80.929,1.538463598,7.089694
85,148.964497,105.411609,74.59232,1.0,512.0,32.0,128.0,2.0,2.0,8.0,2.0,0.000217,84.578,1.5664657119999998,7.218736
86,195.155039,92.212958,43.571663,2.0,64.0,32.0,64.0,4.0,16.0,8.0,3.2,0.000169,17.391,0.4010915869999999,2.373323
87,82.540984,32.76644,13.007352,8.0,128.0,8.0,64.0,4.0,2.0,8.0,3.5,0.000129,33.531,0.5241269999999999,4.063
88,195.155039,97.26027,48.472027,2.0,128.0,32.0,128.0,2.0,2.0,8.0,2.5,0.000305,91.876,4.15108782,13.610124
89,111.393805,44.02953,17.403118,6.0,64.0,32.0,64.0,4.0,4.0,8.0,2.7,0.000129,25.675,0.4711394759999999,3.652244
90,42.507776,17.049193,6.83816,11.0,8.0,32.0,64.0,4.0,2.0,8.0,3.2,0.000226,69.02,2.2989648860000003,10.172411
91,37.392727,13.96663,5.216703,9.0,128.0,32.0,128.0,2.0,16.0,4.0,2.6,0.000413,119.75,7.456082284,18.053468
92,195.155039,100.313697,51.5633,2.0,4.0,32.0,64.0,4.0,2.0,8.0,3.6,0.000333,142.19,5.589345393,16.784821
93,195.155039,94.213323,45.482558,2.0,128.0,256.0,64.0,4.0,2.0,8.0,2.4,0.000129,23.92,0.4428941777999999,3.4332882
94,0.0,0.0,0.0,3.0,128.0,32.0,128.0,2.0,16.0,16.0,3.2,0.000129,27.688,0.502106442,3.892298
95,195.155039,96.527059,47.743954,2.0,128.0,128.0,64.0,4.0,2.0,8.0,3.2,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,2.0,4.0,32.0,64.0,1.0,2.0,16.0,3.0,0.000129,26.188,0.4783241309999999,3.707939
97,195.155039,85.516468,37.473111,2.0,128.0,32.0,2048.0,2.0,2.0,16.0,2.5,0.0,0.0,0.0,0.0
98,195.155039,73.570428,27.734912,2.0,2048.0,32.0,64.0,8.0,2.0,8.0,3.2,0.000129,39.207,0.609425928,4.724232
99,52.858017,21.165724,8.475306,10.0,4.0,32.0,1024.0,1.0,1.0,8.0,3.9,0.000129,56.45,0.8234057100000001,6.38299
100,148.964497,96.134995,62.041207,1.0,1024.0,32.0,512.0,2.0,2.0,8.0,2.9,0.000382,111.66,6.399760218,16.753299
