,reward,reward1,reward2,reward3,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
82,8.130081300813009,20.46747967479675,31.775514901166225,49.33110296318217,1,1024,1024,256,2,1,1,2.3,0.00123,32.871,4.41402966,3.588642
83,7.936507936507937,19.98015873015873,22.718839030109653,25.83291023093555,2,512,2048,128,16,2,2,2.6,0.00126,59.74,8.63471826,6.852951
84,2.8192839018889204,7.097547223005358,12.683454827754838,22.665580279095252,4,16,32,2048,8,1,1,2.0,0.003547,65.99,27.704180465,7.810595
85,15.57632398753894,39.21339563862929,30.810708823890035,24.208558396186834,2,128,32,8192,8,2,1,2.0,0.000642,89.449,4.694799624000001,7.312772000000001
86,8.130081300813009,20.46747967479675,38.6523272149008,72.99396031488168,1,512,32,128,2,8,1,2.0,0.00123,16.716,2.9831091599999997,2.425292
87,0.706945411847712,1.779735074326615,0.3768851314914693,0.07981098107710533,13,4096,512,2048,2,16,4,2.9,0.00038,610.12,22.643386800000002,59.58786
88,15.336260704125296,38.60903632263543,14.739562713770642,5.627043036705042,8,128,64,64,8,16,2,3.5,0.000319,142.97,4.909887862,15.391497999999999
89,7.936507936507937,19.98015873015873,27.770768259381317,38.59907121519319,2,512,32,128,2,16,1,2.6,0.00126,36.415,5.77889298,4.586423
90,24.449877750611247,61.55256723716382,32.59832789262016,17.26412120716838,6,32,4,1024,1,1,1,3.6,0.000409,71.012,4.1940131990000005,10.254311
91,8.352710694366923,21.027949173068727,8.34894944127863,3.314871849809323,6,64,2048,1024,8,4,4,3.5,0.000409,171.09,7.462052034,18.244626
92,16.05150633033688,40.4096671866231,12.322455880362435,3.757588950738591,9,512,32,128,4,16,1,2.6,0.00025,157.86,4.7264765,18.905905999999998
93,3.725016265271882,9.377728447821964,2.578577466266579,0.7090269020406595,12,512,1024,2048,8,1,2,2.8,0.000345,278.95,11.070178184999998,32.087472999999996
94,30.674846625766868,77.22392638036811,39.135929681539636,19.83350321368513,5,4,32,64,16,1,4,3.6,0.000326,79.105,2.90984014,8.92589
95,8.130081300813009,20.46747967479675,38.04659438546855,70.72406409250492,1,512,256,128,2,1,8,2.4,0.00123,19.447,3.07885236,2.503132
96,6.275195219428168,15.797803964910415,4.8046855279467175,1.4612792432249642,12,512,128,4096,2,4,2,3.6,0.000345,214.92,9.04863723,26.227934
97,8.130081300813009,20.46747967479675,31.49818299639086,48.4737519146445,1,512,2048,128,8,1,1,2.5,0.00123,32.419,4.492100219999999,3.652114
98,0.0,0.0,0.0,0.0,1,512,32,128,1,1,16,2.6,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,8,2048,32,128,8,16,16,2.2,0.0,0.0,0.0,0.0
100,24.60108228674921,61.93322465689114,20.621876725889685,6.8664566079633795,10,256,32,64,1,1,1,2.6,0.000282,120.06,5.043949290000001,17.886345000000002
101,8.130081300813009,20.46747967479675,34.17607135953282,57.066325318506905,1,1024,32,512,2,16,1,2.9,0.00123,24.323,3.8157170700000003,3.102209
102,11.365616963041685,28.61294070445744,12.896887609275696,5.813093862819121,7,256,256,2048,16,1,1,3.4,0.000439,141.57,6.670612024,15.195016
103,30.674846625766868,77.22392638036811,39.98909748885542,20.70767433005988,5,8,32,64,8,1,4,3.4,0.000326,64.338,2.78700171,8.549085
104,22.271714922049,56.069042316258354,38.31701482096972,26.185459286232195,3,512,32,64,2,16,8,2.7,0.000449,54.101,3.0355480139999997,6.760686
105,22.271714922049,56.069042316258354,43.21166264153002,33.302651714883226,3,128,32,128,2,2,2,2.2,0.000449,35.785,2.386813507,5.315843
106,8.116883116883116,20.434253246753247,44.02932521827721,94.869210818107,1,128,32,64,2,1,4,3.1,0.001232,13.416,2.2989862896,1.8660603
107,0.0,0.0,0.0,0.0,1,4,256,1024,1,16,4,2.6,0.0,0.0,0.0,0.0
108,33.42145456854573,84.13851187631387,27.93381058199012,9.273966893752107,9,4,256,64,1,2,4,2.9,0.00025,109.4,3.987409,15.949636
