reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
30.487804878048784,5,16,32,512,1,2,1,2.2,0.000328,56.904,2.802186328,8.543251
0,10,8,4,256,4,16,16,2.8,0,0,0,0
1.2634496967000743,14,2048,128,8192,8,1,8,3.6,0.000413,437.77,18.903758769000003,45.771813
0,8,4,64,16384,4,16,1,3.9,0,0,0,0
0,13,64,4,64,1,16,16,3.9,0,0,0,0
1.4860100806911647,10,256,1024,32768,4,16,4,2.6,0.000282,488.5,11.020568460000002,39.08003
13.373276568923005,13,64,8,64,1,4,8,3.0,0.000375,141.21,8.089167,21.571112
0.3329891041686339,1,1024,16,65536,8,2,8,2.7,0.00123,494.12,35.66850186,28.998782
0,1,8,16,256,2,16,16,2.8,0,0,0,0
0,1,8,16,256,2,16,16,2.8,0,0,0,0
8.789723926725484,15,8,16,256,2,1,16,2.8,0.00044,160.8,10.859553320000002,24.680803
1.1983563136709516,11,4096,256,128,2,8,4,2.5,0.000319,511.46,15.476853139000001,48.516781
1.7068912321593555,8,512,4096,2048,16,16,1,3.2,0.000317,429.9,11.963701094,37.740382
22.39377104445579,6,128,512,1024,8,2,2,3.3,0.000409,104.49,5.209714392,12.737688
30.674846625766868,5,32,64,512,1,4,8,2.1,0.000326,61.216,2.8778083580000002,8.827633
1.00797338903483,4,1024,32,8192,16,2,1,3.8,0.00403,156.9,53.08994289299999,13.1736831
0.6527424984574004,16,2048,16,16384,16,16,1,2.4,0.000471,570.32,26.282322809999997,55.801109999999994
0,3,16,8,4096,16,1,8,3.6,0,0,0,0
0,1,8,16,256,2,16,16,2.8,0,0,0,0
0,7,4,128,16384,4,16,1,3.5,0,0,0,0
2.5854664052658265,2,32,16,32768,4,16,1,2.0,0.000642,245.45,11.390681148,17.742494
12.992829556203011,9,1024,8,1024,1,2,2,3.3,0.00025,175.46,5.22161275,20.886451
27.653567759202144,10,8,4,256,4,4,16,2.9,0.000282,113.24,4.692247350000001,16.639175
0,10,8,4,256,4,16,16,3.7,0,0,0,0
1.1983563136709516,11,4096,256,128,2,8,4,3.7,0.000319,511.46,15.388636241,48.240239
0,12,4,256,128,2,8,4,3.9,0,0,0,0
0,12,4,64,512,2,8,4,3.9,0,0,0,0
0,12,4,64,512,8,8,4,3.9,0,0,0,0
0,13,64,512,64,8,8,16,3.9,0,0,0,0
5.353709981820941,13,64,512,64,8,8,1,3.1,0.000379,222.0,10.118547306,26.698014
0,9,16,8,4096,16,1,2,2.3,0,0,0,0
8.116883116883116,1,256,2048,1024,16,2,2,3.3,0.001232,38.048,4.647280176000001,3.7721430000000002
0,1,8,16,256,4,16,16,2.8,0,0,0,0
15.594784326602664,8,128,16,2048,4,16,16,3.4,0.000319,141.78,5.079572575,15.923425
0.35536042034043513,14,512,1024,65536,4,2,8,2.2,0.000413,788.9,25.928046249000005,62.779773000000006
0,3,16,8,4096,16,1,8,3.6,0,0,0,0
13.91386971530201,11,8,256,128,2,8,4,2.5,0.000319,150.1,6.455011255,20.235145
6.139686340551147,8,4,256,16384,2,2,4,2.5,0.000319,225.96,6.761752723,21.196717
0,1,8,4,256,4,16,16,2.9,0,0,0,0
2.75635812881943,15,1024,4,512,4,4,16,3.7,0.000446,285.21,15.294716802,34.293087
0,9,1024,8,16384,16,2,8,3.6,0,0,0,0
0.03940852697566297,4,2048,4096,32768,4,16,16,2.7,0.004023,794.2,210.23553113099996,52.258396999999995
2.9797445822822035,6,4096,32,256,16,16,8,2.6,0.000409,286.45,10.831546181999999,26.482998
0,12,4,256,128,2,8,4,3.9,0,0,0,0
0,10,8,4,256,4,16,16,3.0,0,0,0,0
0,10,8,4,256,4,16,16,2.9,0,0,0,0
0,13,64,4,64,1,16,16,3.7,0,0,0,0
2.5301166354782665,12,64,2048,64,1,8,4,3.2,0.000345,338.47,12.359909625,35.825825
2.666235912749426,13,64,512,16384,8,4,1,3.9,0.000379,314.58,12.429823472,32.796368
13.37401981063875,8,16,512,4096,8,1,2,2.3,0.000318,153.34,5.598398585999999,17.605027
22.271714922049,3,16,128,4096,1,1,8,3.8,0.000449,75.211,3.2850173529999998,7.316297
0,7,256,16,64,1,16,16,2.8,0,0,0,0
21.978021978021978,7,256,64,512,1,2,4,2.1,0.000455,90.167,5.88225183,12.928026000000001
0,1,8,4096,256,2,16,16,2.4,0,0,0,0
0,1,8,4096,256,4,16,16,2.4,0,0,0,0
8.130081300813009,1,32,4096,256,4,16,16,2.4,0.00123,59.463,6.679909830000001,5.430821000000001
15.57632398753894,2,128,1024,2048,4,16,16,2.0,0.000642,65.323,4.3951050359999995,6.8459579999999995
0.85461404271422,9,1024,32,65536,16,2,8,2.9,0.00025,684.14,12.02566275,48.102651
2.870998108993336,16,16,512,4096,8,1,2,2.3,0.000471,271.94,15.687490083000002,33.306773
0,1,8,16,256,2,16,16,2.8,0,0,0,0
8.88450339818921,11,512,256,1024,2,8,2,3.5,0.000319,187.84,7.561896914,23.705006
0,1,8,16,32768,4,16,16,2.8,0,0,0,0
0,14,8,16,32768,4,16,16,2.8,0,0,0,0
0.21173891740650136,14,2048,128,32768,4,16,16,3.1,0.000413,891.24,29.732488674000003,71.991498
0,15,1024,8,512,16,2,8,3.4,0,0,0,0
0,15,1024,8,16384,16,2,8,3.4,0,0,0,0
1.1370559421048136,15,32,1024,16384,16,4,8,3.4,0.000446,444.06,18.844181934,42.251529
2.26273100427806,7,4096,128,2048,4,16,1,2.2,0.000445,315.14,13.672249865,30.724157
0,10,8,4,256,4,16,16,2.9,0,0,0,0
6.510959406635917,3,16,4096,4096,2,1,8,3.6,0.000449,184.95,6.689656837,14.899013
0,11,4,2048,32768,2,8,4,2.5,0,0,0,0
0,7,4,2048,32768,2,8,1,3.5,0,0,0,0
2.454492030632433,7,128,32,32768,2,8,1,3.5,0.000439,304.64,11.372342851,25.905109
0,13,256,4096,64,1,16,16,3.7,0,0,0,0
0.3732858553121269,4,256,4096,8192,1,4,16,3.7,0.004028,257.89,86.13379655840001,21.3837628
0.979253595987636,9,512,16,65536,16,2,8,3.6,0.00025,639.12,11.280943500000001,45.123774000000004
22.271714922049,3,16,8,4096,4,1,8,2.6,0.000449,73.771,3.214717423,7.159727
22.271714922049,3,16,16,4096,16,1,8,2.8,0.000449,87.083,3.411136065,7.597185
9.541189921113924,6,2048,16,1024,2,2,2,3.3,0.000409,160.08,7.410051774,18.117486
19.269488817617482,5,1024,16,1024,16,2,2,3.0,0.000326,126.17,4.1454518600000005,12.71611
0.2892438931838731,16,4096,128,1024,4,4,2,3.5,0.000473,741.22,32.73426488199999,69.20563399999999
0,2,4,128,16384,4,16,1,2.7,0,0,0,0
1.3215520956852396,2,32,16,32768,4,16,1,3.2,0.001256,245.45,21.951173544,17.477049
7.19928364755399,11,1024,256,128,2,8,4,3.3,0.000319,208.67,8.430663109,26.428411
3.5363373644118385,15,128,128,512,16,2,1,3.4,0.000446,251.8,12.674895854,28.419049
0,9,4,256,128,8,8,2,3.8,0,0,0,0
0,9,4,256,128,8,8,2,3.8,0,0,0,0
0,15,4,256,128,8,8,4,3.8,0,0,0,0
12.768511021327663,10,16,4,8192,4,1,16,2.1,0.000282,166.65,5.7760489260000005,20.482443
0,15,1024,8,512,16,2,8,3.4,0,0,0,0
8.771799711071267,12,512,64,512,2,4,4,2.0,0.000345,181.78,8.451039615,24.495767
0,8,4,2048,32768,2,8,1,2.5,0,0,0,0
0,12,2048,4,16384,16,2,4,2.9,0,0,0,0
0.7120083588455285,12,4096,1024,128,2,2,4,3.6,0.000345,638.04,20.054833785,58.129953
0,12,4,64,2048,2,8,4,3.9,0,0,0,0
0,12,4,64,65536,2,8,4,3.0,0,0,0,0
0,12,4,8,16384,8,8,4,3.9,0,0,0,0
0,12,4,64,512,8,8,4,3.0,0,0,0,0
0,10,64,512,64,8,16,16,3.0,0,0,0,0
0,10,64,512,64,8,4,16,3.0,0,0,0,0
3.6933525488804646,2,64,512,16384,8,4,1,2.7,0.00126,146.59,14.13408024,11.217524
13.398940387408095,13,64,32,64,1,1,2,2.3,0.000377,140.7,8.217584362,21.797306
2.4894199651481204,4,16,64,4096,2,1,4,2.3,0.004017,78.549,34.105940817,8.490401
30.66843397099498,10,8,4,256,4,1,2,2.3,0.000282,107.53,4.626358614000002,16.405527000000003
22.271714922049,3,64,512,64,8,1,8,2.5,0.000449,48.197,2.7880506830000003,6.209467
8.00743288843234,11,64,512,4096,8,4,16,3.1,0.000319,197.86,7.687428199000001,24.098521
6.968186308551804,13,32,64,512,8,8,4,3.9,0.000379,194.59,8.82137281,23.27539
21.73159257631509,6,512,64,512,8,8,4,3.9,0.000409,106.07,5.149780350000001,12.59115
8.130081300813009,1,8,4096,256,2,8,16,2.4,0.00123,55.588,6.18792582,5.0308340000000005
