power,latency
16.920049,0.000129
12.109229,0.000226
15.443119,0.000195
4.749898999999999,0.000129
3.862095,0.000129
12.814375,0.000269
22.734281000000003,0.000413
15.779027,0.000371
14.952131,0.000269
14.720353,0.000169
28.399334,0.000413
28.153324,0.000333
8.756904,0.000192
34.293448000000005,0.000468
5.053536,0.000171
19.883442,0.000269
7.053222,0.000149
20.390188,0.00045
21.446432,0.000269
29.364716,0.000592
4.2673570000000005,0.000169
7.385749,0.00019
11.201069,0.000226
23.299435,0.00045
21.674433,0.000413
7.398287,0.00019
36.047678,0.000608
26.151324,0.000382
9.055737,0.000195
9.037465,0.000195
11.247796,0.000195
24.239213,0.00045
8.386763,0.00019
12.919277,0.000195
11.357935,0.000269
29.318486,0.000468
3.5597540000000003,0.000171
10.823879,0.000226
9.122872,0.000195
19.92265,0.000226
4.197171,0.000171
8.897974,0.000149
16.353087,0.000195
5.611581,0.000149
4.981482,0.000149
12.154483,0.000269
3.5300392,0.000129
8.578638,0.000149
17.854033,0.000226
2.469558,0.000169
3.3620972,0.000129
1.9319285,0.000171
13.246763,0.000149
32.804467,0.000269
8.342545,0.000195
14.747139,0.000269
16.589527,0.000305
3.7274285,0.000129
30.048621,0.000129
3.004598,0.000171
12.702477,0.000269
15.285101,0.000305
10.59875,0.000195
11.650602,0.000226
23.780124,0.000305
7.257653,0.000149
10.723787,0.000226
2.626364,0.000169
2.5733836,0.000171
1.9883261,0.000169
5.23876,0.00021
10.430595,0.000253
11.63473,0.000269
4.149481000000001,0.000129
8.671754,0.000149
10.054422,0.000195
23.07233,0.000269
14.598448,0.000149
4.059445,0.000169
5.7941737,0.000149
5.623593199999999,0.000129
14.763497,0.000195
12.386606,0.000269
16.78156,0.000269
4.640121,0.000129
26.785813,0.000586
1.8582699,0.000169
23.939389,0.000305
18.104646,0.000305
5.349094,0.000129
6.722028,0.000149
14.340006,0.000269
6.38642,0.00021
3.8086671,0.000129
8.801122,0.000195
16.444965,0.000226
15.855734,0.000195
8.386386,0.000195
34.965103,0.000413
5.642790000000001,0.000149
4.017991,0.000217
5.7229609,0.000149
8.773226999999999,0.000149
11.680367,0.000195
4.425534,0.000129
10.373521,0.000226
1.8146059,0.000169
14.69723,0.000226
18.141187,0.000333
3.681799,0.000171
37.15712,0.000226
9.661226,0.000149
30.754062,0.00045
2.575594,0.000171
6.053104,0.000149
14.233121,0.000305
18.493404,0.000149
4.1163417,0.000129
5.390669,0.000149
4.026835,0.000129
12.950422,0.000269
5.962289,0.000149
14.264125,0.000269
11.048563,0.000195
11.712126,0.000195
9.604982,0.000129
13.381345,0.000269
8.923223,0.000149
9.096508,0.000149
14.74576,0.00019
6.361429,0.000149
12.218297,0.000195
5.906704,0.000149
12.226874,0.000276
7.311926,0.000149
9.013136,0.000129
2.2444139,0.000169
5.743691,0.000149
4.757567,0.000129
5.5603724,0.000129
6.4460310000000005,0.000149
9.406275,0.000149
5.645832,0.000149
10.366071,0.000129
8.831456,0.000149
16.012815,0.000195
18.07652,0.000305
18.385266,0.000226
6.20806,0.000129
11.445479,0.000226
13.11514,0.000149
4.238821,0.000129
3.457389,0.000169
1.8495542,0.000169
7.681549,0.000129
2.6852,0.000169
3.0066063,0.000169
5.284395,0.000149
5.377665,0.000217
3.744227,0.000129
2.1722681,0.000171
6.135488,0.000149
5.490973,0.000149
5.7094700000000005,0.000149
8.127918,0.000149
5.7990796,0.000149
9.387611,0.000192
3.208001,0.000169
2.1717107,0.000169
9.518932,0.000195
3.853508,0.000129
7.3824738,0.000149
2.9888864,0.000171
6.366681000000001,0.000149
11.914447,0.000269
11.351407,0.000149
5.4614606,0.000145
3.022705,0.000169
12.510919,0.000195
4.309697,0.000129
16.365999,0.000195
6.004101,0.000149
6.721085,0.000129
15.138179,0.000195
9.972579,0.000149
7.041473,0.000129
5.3527653,0.000129
12.941503,0.000195
7.891426,0.000149
6.665599,0.000129
5.6187567000000005,0.000149
8.236713,0.000149
5.157718,0.000129
7.323113999999999,0.000149
9.684117,0.000149
5.7850790000000005,0.000149
5.681183,0.000149
6.423898,0.000129
2.3208697,0.000171
5.402347,0.000129
