,reward1,reward2,latency,Area,energy,power,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,best_reward
145,20.46748,40.710251,0.00123,15.102,2.6891367,2.18629,1,128,32,128,4,8,1,2.0,51.17727344444453
146,20.46748,31.843224,0.00123,26.753,4.395278309999999,3.573397,1,2048,32,64,2,8,1,2.0,51.17727344444453
147,100.7,33.453172,0.00025,124.53,3.98240875,15.929635,9,16,64,1024,8,1,2,3.1,51.17727344444453
148,39.213396,40.629302,0.000642,33.992,2.699862948,4.205394,2,16,32,1024,2,8,1,2.0,51.17727344444453
149,20.46748,15.002274,0.00123,274.02,19.80187209,16.099083,1,512,512,32768,8,8,8,2.6,51.17727344444453
150,100.7,33.443932,0.00025,124.53,3.984609500000001,15.938438,9,16,64,1024,8,1,2,3.0,51.17727344444453
151,39.213396,39.443022,0.000642,36.062,2.864706078,4.462159000000001,2,128,128,1024,2,8,1,2.0,51.17727344444453
152,20.434253,39.836394,0.001232,18.178,2.808409296,2.279553,1,512,32,128,4,1,8,3.9,51.17727344444453
153,100.7,33.769536,0.00025,117.87,3.90814125,15.632565,9,16,64,512,8,1,2,2.9,51.17727344444453
154,19.980159,31.389192,0.00126,24.22,4.5233496,3.58996,2,128,32,64,2,4,1,2.6,51.17727344444453
155,56.069042,43.518451,0.000449,35.21,2.3532799420000003,5.241158,3,128,32,64,2,1,2,3.0,51.17727344444453
156,0.0,0.0,0.0,0.0,0.0,0.0,9,16,4,1024,8,1,16,3.7,51.17727344444453
157,19.980159,30.540346,0.00126,27.483,4.77829044,3.792294,2,128,32,64,2,8,1,2.5,51.17727344444453
158,20.46748,43.087099,0.00123,14.471,2.400633927,1.9517349,1,128,32,128,1,1,8,2.5,51.17727344444453
159,100.7,32.077018,0.00025,162.7,4.3314415,17.325766,9,16,64,1024,8,16,2,2.9,51.17727344444453
160,20.46748,41.750316,0.00123,14.279,2.55682437,2.078719,1,16,32,64,2,8,2,2.0,51.17727344444453
161,20.46748,38.797379,0.00123,17.038,2.96084493,2.407191,1,512,64,128,4,8,1,2.3,51.17727344444453
162,89.27305,28.053603,0.000282,159.44,5.662955646,20.081403,10,8,512,1024,8,1,2,3.5,51.17727344444453
163,77.223926,38.581606,0.000326,65.957,2.9940553940000005,9.184219,5,128,32,64,2,8,1,2.0,51.17727344444453
164,20.434253,32.255523,0.001232,31.648,4.283633200000001,3.476975,1,256,2048,64,1,8,8,3.2,51.17727344444453
165,100.7,33.907842,0.00025,116.26,3.8763245,15.505298,9,16,64,128,8,2,2,2.9,51.17727344444453
166,56.446188,27.514619,0.000446,84.705,5.886991717999999,13.199533,8,16,32,64,1,1,1,2.4,51.17727344444453
167,20.46748,34.769162,0.00123,26.687,3.68665071,2.997277,1,64,32,1024,2,16,2,2.0,51.17727344444453
168,0.0,0.0,0.0,0.0,0.0,0.0,9,16,4,1024,8,1,2,2.6,51.17727344444453
169,39.213396,40.329664,0.000642,32.068,2.740130472,4.268116,2,32,32,64,2,16,1,2.0,51.17727344444453
170,20.46748,41.308304,0.00123,16.067,2.61183489,2.123443,1,128,256,64,8,2,1,2.0,51.17727344444453
171,100.298805,31.708165,0.000251,142.78,4.432800811,17.660561,9,256,64,2048,8,1,2,2.5,51.17727344444453
172,20.46748,42.67004,0.00123,14.079,2.44779102,1.990074,1,16,32,64,1,8,1,2.7,51.17727344444453
173,20.434253,43.838878,0.001232,13.722,2.3190044416,1.8823088,1,128,32,64,2,1,8,3.9,51.17727344444453
174,100.7,33.421788,0.00025,124.53,3.9898915,15.959566,9,16,64,1024,8,1,2,2.8,51.17727344444453
175,19.980159,29.317504,0.00126,30.91,5.18521122,4.115247,2,512,32,64,1,8,1,2.6,51.17727344444453
176,20.46748,37.451378,0.00123,18.9,3.17749467,2.583329,1,128,32,128,1,16,8,2.2,51.17727344444453
