Unnamed: 0,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,power
397,22.779043280182236,7,64,16,256,4,4,4,3.0,0.000439,80.8,11.793196
398,30.674846625766868,5,128,32,2048,4,4,4,3.1,0.000326,73.323,9.518904
399,39.1188311168082,9,32,8,256,4,4,4,2.8,0.00025,101.12,14.953202
400,30.674846625766868,5,64,32,512,4,4,4,2.8,0.000326,60.919,8.703455
401,24.449877750611247,6,128,8,512,4,4,4,3.1,0.000409,73.152,10.451851
402,14.26533523537803,4,64,32,1024,4,4,4,2.9,0.000701,55.615,7.215355000000001
403,24.449877750611247,6,64,32,512,4,4,4,2.9,0.000409,71.971,10.323463
404,24.449877750611247,6,64,64,2048,4,4,4,3.1,0.000409,83.672,11.065879
405,31.54574132492113,8,128,16,512,4,4,4,2.6,0.000317,96.043,13.894228
406,24.449877750611247,6,64,16,512,4,4,4,2.7,0.000409,71.57,10.286977
407,22.779043280182236,7,64,8,256,4,4,4,3.0,0.000439,80.453,11.762159
408,22.779043280182236,7,32,32,256,4,4,4,3.1,0.000439,80.35,11.724846
409,24.449877750611247,6,32,16,512,4,4,4,3.0,0.000409,70.78,10.156133
410,2.484472049689441,4,256,16,512,4,4,8,2.8,0.004025,54.52,7.415343
411,22.779043280182236,7,32,32,512,4,4,4,3.2,0.000439,82.099,11.816371
412,2.484472049689441,4,256,64,1024,4,4,4,2.8,0.004025,60.172,7.731228
413,2.483854942871336,4,128,32,1024,4,4,4,3.0,0.004026,56.871,7.360633
414,30.674846625766868,5,128,32,512,4,4,4,2.8,0.000326,62.489,8.892548000000001
415,2.483238142537869,4,256,32,512,4,4,4,3.1,0.004027,53.843,7.380823
416,24.449877750611247,6,64,64,512,4,4,4,3.0,0.000409,72.84,10.423539
417,22.779043280182236,7,64,32,512,4,4,4,2.9,0.000439,83.02,11.956846
418,30.674846625766868,5,256,8,1024,4,4,4,2.8,0.000326,71.054,9.472675
419,31.717611758987385,9,256,32,256,4,4,4,2.8,0.00025,112.3,16.228214
420,26.64362829216174,8,128,8,512,4,8,4,2.8,0.000318,108.64,14.322136
421,22.779043280182236,7,64,16,512,4,4,4,2.9,0.000439,82.552,11.898689
422,30.76923076923077,5,128,16,256,4,4,4,3.1,0.000325,60.405,8.711685
423,37.427165332743776,9,16,32,512,4,4,4,2.8,0.00025,103.38,15.094187
424,30.674846625766868,5,32,128,256,4,4,4,2.9,0.000326,60.962,8.782411999999999
425,31.54574132492113,8,32,8,256,4,4,4,3.0,0.000317,90.33,13.282561
426,30.76923076923077,5,32,16,256,4,4,4,2.7,0.000325,58.177,8.459643
427,22.779043280182236,7,64,16,256,4,4,2,3.1,0.000439,80.18,11.75985
428,28.672962516144025,8,64,32,2048,4,4,4,2.9,0.000317,104.89,14.287922
429,24.449877750611247,6,64,32,2048,4,4,4,3.2,0.000409,82.803,10.952394
430,22.779043280182236,7,128,64,256,4,4,4,3.0,0.000439,84.481,12.228758
431,30.674846625766868,5,64,64,512,4,4,4,3.2,0.000326,61.643,8.765486
432,33.62399907554177,9,32,16,1024,4,4,4,2.9,0.00025,109.07,15.350421
