Unnamed: 0,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,power
523,22.779043280182236,7,16,64,1024,4,4,2,3.0,0.000439,88.495,12.140395
524,31.54574132492113,8,16,16,512,4,4,4,3.0,0.000317,91.994,13.34683
525,22.779043280182236,7,16,32,256,4,4,2,2.9,0.000439,79.301,11.656536
526,22.779043280182236,7,32,32,512,4,2,2,3.1,0.000439,80.125,11.768193
527,22.779043280182236,7,32,32,256,4,4,4,3.0,0.000439,80.35,11.73105
528,24.449877750611247,6,32,64,256,4,4,2,3.0,0.000409,69.677,10.194903
529,22.779043280182236,7,32,32,256,4,4,2,3.0,0.000439,79.726,11.704936
530,22.779043280182236,7,32,32,256,4,4,2,3.0,0.000439,79.726,11.704936
531,22.779043280182236,7,16,64,256,4,4,2,3.0,0.000439,80.314,11.772277
532,30.674846625766868,5,16,32,1024,4,4,2,3.0,0.000326,65.768,8.833049
533,22.779043280182236,7,16,32,512,4,4,2,3.0,0.000439,80.818,11.735867
534,31.54574132492113,8,16,32,512,4,4,4,3.1,0.000317,92.52,13.408509
535,22.779043280182236,7,16,32,256,4,4,2,2.9,0.000439,79.301,11.656536
536,22.779043280182236,7,16,32,256,4,4,2,2.9,0.000439,79.301,11.656536
537,24.449877750611247,6,32,64,256,8,4,2,3.0,0.000409,80.578,10.521754
538,22.779043280182236,7,32,64,512,4,4,2,2.9,0.000439,82.257,11.921452
539,22.779043280182236,7,16,64,256,4,4,2,2.9,0.000439,80.314,11.779808
540,24.449877750611247,6,16,64,128,4,4,2,3.2,0.000409,68.561,10.074837
541,22.779043280182236,7,32,64,256,4,4,4,2.9,0.000439,81.363,11.861499
542,22.779043280182236,7,64,64,256,4,4,2,2.9,0.000439,81.661,11.95657
543,24.449877750611247,6,32,64,256,4,4,2,3.0,0.000409,69.677,10.194903
544,22.779043280182236,7,64,64,512,4,4,2,2.7,0.000439,83.178,12.05773
545,22.779043280182236,7,32,32,128,4,4,2,3.1,0.000439,78.975,11.641862
546,24.449877750611247,6,16,16,512,4,4,2,3.0,0.000409,69.56,10.069634
547,24.449877750611247,6,32,64,128,4,4,4,2.9,0.000409,69.225,10.168598
548,24.449877750611247,6,8,64,256,8,4,2,2.8,0.000409,79.94,10.456927
549,22.779043280182236,7,32,32,256,4,4,4,2.9,0.000439,80.35,11.73848
