,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,power
423,59.1715976331361,1,64,8,2048,4,4,4,2.8,0.000169,27.404,2.700075
424,44.247787610619476,6,32,32,64,4,4,4,3.1,0.000226,67.925,10.017571
425,58.47953216374268,1,64,8,64,2,4,2,3.0,0.000171,12.68,1.829363
426,58.47953216374268,1,64,32,2048,2,4,4,3.0,0.000171,27.345,2.695538
427,37.17472118959108,7,64,32,64,2,4,4,3.0,0.000269,78.535,11.725389
428,59.1715976331361,1,64,16,64,4,4,4,2.8,0.000169,13.326,1.869814
429,58.47953216374268,1,16,32,256,2,4,4,3.0,0.000171,14.536,1.918496
430,58.47953216374268,1,32,32,64,2,4,4,3.0,0.000171,13.085,1.8395380000000001
431,32.78688524590164,8,16,8,64,4,4,4,2.9,0.000305,88.338,13.127115
432,58.47953216374268,1,64,16,64,2,4,2,3.0,0.000171,12.722,1.833894
433,58.47953216374268,1,32,16,64,4,4,4,3.0,0.000171,13.194,1.8394629999999998
434,59.1715976331361,1,32,32,128,2,4,4,2.9,0.000169,13.518,1.8722949999999998
435,59.1715976331361,1,256,8,64,2,4,4,2.8,0.000169,14.085,1.988584
436,58.47953216374268,1,32,16,64,4,4,4,3.1,0.000171,13.194,1.836041
437,52.63157894736842,4,32,16,2048,2,4,4,3.0,0.00019,59.106,7.54153
438,58.47953216374268,1,32,16,64,2,4,2,3.1,0.000171,12.59,1.80905
439,51.282051282051285,5,32,8,64,4,4,4,3.1,0.000195,56.419,8.323842999999998
440,52.63157894736842,4,64,8,2048,2,4,2,3.0,0.00019,59.518,7.60471
441,37.17472118959108,7,32,16,256,2,4,4,3.0,0.000269,78.478,11.623729
442,59.1715976331361,1,32,8,2048,2,4,8,2.9,0.000169,27.181,2.676146
443,58.47953216374268,1,64,64,1024,4,4,4,3.1,0.000171,22.57,2.3383610000000004
444,59.1715976331361,1,128,64,2048,4,4,4,2.9,0.000169,27.981,2.771563
445,44.247787610619476,6,32,16,64,2,4,4,3.0,0.000226,66.32,9.956739
446,59.1715976331361,1,32,8,128,2,4,2,2.8,0.000169,13.087,1.8387820000000001
447,77.51937984496125,2,32,16,512,2,4,4,2.9,0.000129,26.939,3.6387090000000004
448,77.51937984496125,2,32,16,64,4,2,2,2.8,0.000129,23.356,3.422052
449,44.247787610619476,6,16,64,512,4,4,4,2.9,0.000226,71.685,10.277940000000001
450,59.1715976331361,1,64,16,64,4,4,4,2.9,0.000169,13.326,1.865563
451,32.78688524590164,8,128,16,64,2,4,4,3.2,0.000305,91.184,13.617976
452,58.47953216374268,1,64,64,64,4,4,2,3.0,0.000171,13.136,1.871414
453,59.1715976331361,1,32,16,64,4,4,2,2.9,0.000169,12.791,1.826328
454,44.247787610619476,6,32,8,512,2,4,2,3.0,0.000226,68.496,10.084340000000001
455,32.78688524590164,8,32,16,2048,4,4,4,3.0,0.000305,103.3,14.056935
456,44.247787610619476,6,64,8,64,2,4,4,3.1,0.000226,66.886,10.018913000000001
457,58.47953216374268,1,32,16,64,4,4,4,3.1,0.000171,13.194,1.836041
458,59.1715976331361,1,32,8,64,2,4,4,2.8,0.000169,12.955,1.833248
459,51.282051282051285,5,64,8,256,2,4,4,3.0,0.000195,57.645,8.490794000000001
460,58.47953216374268,1,32,32,2048,2,4,4,3.0,0.000171,27.213,2.6739439999999997
461,59.1715976331361,1,64,32,1024,2,4,4,2.8,0.000169,22.24,2.323073
462,67.11409395973155,3,32,32,64,4,4,4,3.1,0.000149,35.149,5.098216
463,58.47953216374268,1,32,8,128,2,4,2,3.0,0.000171,13.087,1.8307630000000001
464,52.63157894736842,4,64,16,512,4,4,4,3.0,0.00019,49.59,6.978439
465,59.1715976331361,1,64,4,1024,4,4,4,2.7,0.000169,22.289,2.3237840000000003
466,51.282051282051285,5,32,16,64,4,4,4,2.8,0.000195,56.669,8.366648
467,59.1715976331361,1,64,8,256,4,4,4,2.9,0.000169,14.788,1.948714
468,58.47953216374268,1,64,8,64,4,4,4,3.0,0.000171,13.276,1.855887
469,59.1715976331361,1,32,64,64,4,4,4,2.8,0.000169,13.406,1.8756480000000002
470,58.47953216374268,1,32,16,128,4,4,4,3.0,0.000171,13.627,1.868018
471,77.51937984496125,2,64,8,64,4,4,4,3.1,0.000129,24.241,3.4865440000000003
472,51.282051282051285,5,64,16,1024,2,4,4,3.0,0.000195,65.331,8.878409
473,59.1715976331361,1,64,8,1024,4,4,4,2.9,0.000169,22.307,2.314419
474,51.282051282051285,5,32,16,64,4,4,2,3.0,0.000195,56.268,8.335555000000001
475,59.1715976331361,1,64,8,64,2,4,2,2.9,0.000169,12.68,1.833668
476,58.47953216374268,1,64,16,2048,2,4,4,3.0,0.000171,27.253,2.686077
477,44.247787610619476,6,64,16,64,2,4,4,3.1,0.000226,67.11,10.043421
478,59.1715976331361,1,32,16,64,4,4,4,2.9,0.000169,13.194,1.843751
479,58.47953216374268,1,16,32,128,2,4,4,3.1,0.000171,13.457,1.8556860000000002
480,58.47953216374268,1,32,32,64,2,4,4,3.1,0.000171,13.085,1.836317
481,37.17472118959108,7,32,8,64,4,4,4,2.9,0.000269,78.025,11.529653
